frame_check,relative_angle
1,0.0
2,180.0000457763672
3,359.99871826171875
4,359.9984893798828
5,359.9983673095703
6,359.9989776611328
7,359.99822998046875
8,359.9918518066406
9,359.99017333984375
10,359.99017333984375
11,359.98919677734375
12,359.98509216308594
13,359.9922790527344
14,359.99839782714844
15,359.99937438964844
16,359.99981689453125
17,359.9980773925781
18,359.99940490722656
19,358.6199188232422
20,359.999755859375
21,359.999755859375
22,359.999755859375
23,180.0000457763672
24,180.0000457763672
25,180.0000457763672
